"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"ASSOCIAÇÃO POLICIAL MILITAR DE ASSISTËNCIA A SAÚDE (407097)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO PRÓ-SAÚDE (333328)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"   4,83";"   4,81";"   4,79";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI (420786)";"Médico Hospitalar";"Pequeno";"112";"130";"   1,58";"   1,58";"   2,36";"   1,57";"   2,32";"   0,77";"   1,53";"   3,04";"   3,03";"   2,26";"0,00";"   0,75";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803)";"Médico Hospitalar";"Pequeno";"170";"187";"   0,59";"   0,59";"0,00";"0,00";"0,00";"   1,15";"   1,71";"   1,70";"   0,57";"0,00";"   0,58";"   1,16";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249)";"Médico Hospitalar";"Médio";"28";"35";"   6,45";"   5,48";"   6,29";"   5,37";"   5,63";"   4,79";"   5,46";"   6,16";"   8,15";"  11,70";"  11,95";"  10,64";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141)";"Médico Hospitalar";"Médio";"100";"73";"   1,69";"   3,04";"   3,41";"   3,44";"   2,07";"   2,43";"   2,45";"   2,84";"   1,43";"   1,81";"   1,46";"   2,20";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SÃO LUIZ SAÚDE (421006)";"Médico Hospitalar";"Pequeno";"167";"184";"   0,62";"   0,62";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,61";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   1,73";"   1,75";"   1,79";"0,00";"   0,92";"   1,86";"   1,88";"   0,95";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919)";"Médico Hospitalar";"Pequeno";"93";"134";"   2,12";"   1,43";"   2,18";"   1,47";"   2,22";"   1,49";"   1,49";"   1,50";"   0,76";"   0,77";"   0,77";"   1,55";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇAO UNISAUDE MARAU (333867)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO (420123)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   4,07";"   4,08";"   8,17";"   4,09";"   4,10";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635)";"Médico Hospitalar";"Pequeno";"82";"89";"   2,74";"   2,72";"   1,35";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,29";"   1,27";"   1,26";"202002";"26/03/2020 09:14:21"
"ASTRA S/A INDUSTRIA E COMERCIO (358410)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ATÍVIA SERVIÇOS DE SAÚDE S/A (320510)";"Médico Hospitalar";"Pequeno";"73";"70";"   3,44";"   4,15";"   4,19";"   4,90";"   4,86";"   4,82";"   5,49";"   6,25";"   6,32";"   4,95";"   3,55";"   1,43";"202002";"26/03/2020 09:14:21"
"AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417)";"Médico Hospitalar";"Médio";"188";"208";"   0,41";"   0,27";"   0,81";"   0,82";"   0,70";"   0,85";"   0,86";"   1,01";"   0,87";"   1,31";"   1,91";"   1,48";"202002";"26/03/2020 09:14:21"
"BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"BENEFICENCIA CAMILIANA DO SUL (318299)";"Médico Hospitalar";"Médio";"88";"115";"   1,91";"   1,60";"   1,44";"   1,93";"   2,90";"   3,08";"   2,94";"   2,46";"   1,64";"   1,96";"   2,60";"   3,08";"202002";"26/03/2020 09:14:21"
"BENEFICÊNCIA SOCIAL BOM SAMARITANO (421189)";"Médico Hospitalar";"Pequeno";"181";"14";"0,00";"  56,07";"  62,50";"  76,73";"0,00";"";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561)";"Médico Hospitalar";"Médio";"211";"218";"   0,20";"0,00";"   0,20";"   1,20";"   1,61";"   1,41";"   0,60";"   0,40";"   0,81";"   0,81";"   0,61";"   0,61";"202002";"26/03/2020 09:14:21"
"BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966)";"Médico Hospitalar";"Médio";"44";"53";"   4,72";"   4,63";"   4,18";"   4,55";"   5,41";"   5,09";"   5,17";"   4,40";"   6,39";"   5,74";"   5,49";"   4,44";"202002";"26/03/2020 09:14:21"
"BIOVIDA SAÚDE LTDA. (415111)";"Médico Hospitalar";"Médio";"19";"19";"   7,77";"   8,28";"  10,98";"  13,02";"  13,36";"  12,62";"  10,80";"  11,35";"  10,11";"  10,36";"   9,77";"   8,99";"202002";"26/03/2020 09:14:21"
"BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A (421715)";"Médico Hospitalar";"Pequeno";"69";"60";"   3,56";"   5,40";"";"";"";"";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"BRADESCO SAÚDE S.A. (005711)";"Médico Hospitalar";"Grande";"14";"14";"   6,48";"   7,10";"   7,83";"   8,53";"   8,87";"   8,67";"   8,18";"   7,86";"   7,32";"   7,17";"   7,22";"   8,61";"202002";"26/03/2020 09:14:21"
"BRF S/A (417238)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"0,00";"0,00";"   0,11";"   0,11";"   0,11";"0,00";"0,00";"0,00";"   0,11";"   0,11";"202002";"26/03/2020 09:14:21"
"CABERJ INTEGRAL SAÚDE S.A (415774)";"Médico Hospitalar";"Médio";"37";"46";"   5,07";"   5,13";"   5,53";"   6,58";"   5,71";"   6,06";"   5,70";"   7,89";"   7,34";"   9,20";"   9,06";"  24,19";"202002";"26/03/2020 09:14:21"
"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"   3,70";"   7,37";"  11,01";"  11,00";"  10,97";"   7,28";"   3,62";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251)";"Médico Hospitalar";"Pequeno";"62";"81";"   4,28";"   3,20";"   2,13";"   3,18";"   3,18";"   4,26";"   1,07";"   1,07";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331)";"Médico Hospitalar";"Médio";"71";"66";"   2,74";"   3,75";"   4,76";"   4,90";"   5,05";"   5,03";"   4,00";"   2,82";"   2,64";"   2,62";"   2,28";"   1,95";"202002";"26/03/2020 09:14:21"
"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401)";"Médico Hospitalar";"Médio";"215";"218";"0,00";"0,00";"   0,83";"   0,83";"   0,83";"   1,66";"   1,66";"   1,66";"   0,41";"   1,24";"   1,24";"   1,24";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361)";"Médico Hospitalar";"Pequeno";"42";"53";"   8,41";"   6,82";"   2,61";"   3,63";"   4,12";"   6,14";"   6,60";"   6,04";"   7,48";"   7,44";"   6,91";"   4,42";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873)";"Médico Hospitalar";"Médio";"215";"191";"0,00";"   0,44";"   0,88";"   0,88";"   1,30";"   0,86";"   1,28";"   1,69";"   2,10";"   1,66";"   0,41";"   0,82";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661)";"Médico Hospitalar";"Pequeno";"181";"107";"0,00";"   2,35";"   2,34";"   4,69";"   2,34";"   2,34";"0,00";"0,00";"0,00";"   7,00";"   7,00";"   6,99";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,22";"   2,21";"   4,41";"   2,20";"   2,19";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL (421341)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"   1,32";"   2,65";"   2,65";"   1,33";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851)";"Médico Hospitalar";"Pequeno";"134";"145";"   1,20";"   1,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DO SETOR ELÉTRICO - E-VIDA (418374)";"Médico Hospitalar";"Pequeno";"77";"75";"   2,98";"   3,57";"   2,98";"   1,19";"   0,60";"   1,79";"   2,38";"   2,39";"   1,80";"   3,02";"   3,63";"   4,24";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,80";"   4,78";"   4,77";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA CEDAE (321869)";"Médico Hospitalar";"Médio";"134";"70";"   1,20";"   3,20";"   5,58";"   6,74";"   5,51";"   4,67";"   4,61";"   7,99";"  10,19";"  13,39";"  15,93";"  15,86";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855)";"Médico Hospitalar";"Pequeno";"169";"186";"   0,59";"   0,59";"   0,59";"   0,59";"   1,19";"   1,19";"   0,60";"   0,60";"   1,20";"   1,81";"   1,21";"   0,60";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL (307319)";"Médico Hospitalar";"Médio";"121";"150";"   1,26";"   1,00";"   1,00";"   1,00";"   1,50";"   1,25";"   1,24";"   0,50";"   1,00";"   0,99";"   1,74";"   1,48";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB (315583)";"Médico Hospitalar";"Pequeno";"83";"92";"   2,71";"   2,69";"0,00";"0,00";"   2,66";"   5,29";"   7,90";"   4,98";"   7,10";"   9,02";"  11,27";"   8,99";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,61";"   3,91";"   3,91";"   1,30";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME (344184)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES (343331)";"Médico Hospitalar";"Pequeno";"146";"195";"   1,03";"0,00";"   2,05";"   2,04";"   3,06";"   1,01";"   1,01";"0,00";"0,00";"0,00";"   1,00";"   2,98";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754)";"Médico Hospitalar";"Pequeno";"79";"57";"   2,82";"   5,58";"   9,63";"  12,14";"   9,20";"   6,39";"   4,97";"   4,87";"   3,57";"   3,50";"   9,13";"   8,91";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL (346659)";"Médico Hospitalar";"Grande";"16";"19";"   6,12";"   6,64";"   7,42";"   8,29";"   9,28";"   9,08";"   8,37";"   8,41";"   9,07";"   9,53";"   9,19";"   8,63";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL (385697)";"Médico Hospitalar";"Médio";"92";"102";"   1,87";"   1,86";"   2,66";"   2,67";"   2,76";"   2,21";"   3,31";"   3,47";"   3,20";"   2,40";"   2,93";"   2,39";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO (302627)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534)";"Médico Hospitalar";"Grande";"68";"68";"   0,70";"   0,69";"   0,86";"   1,07";"   0,93";"   0,61";"   0,23";"   0,37";"   0,51";"   0,61";"   0,51";"   0,47";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"181";"148";"0,00";"   1,17";"   2,33";"   2,33";"   1,16";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548)";"Médico Hospitalar";"Pequeno";"63";"62";"   4,26";"   4,95";"   8,47";"   8,46";"  11,26";"  11,24";"  13,32";"  14,69";"  11,17";"   7,66";"   3,47";"   3,45";"202002";"26/03/2020 09:14:21"
"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820)";"Médico Hospitalar";"Pequeno";"178";"191";"   0,52";"   0,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP (324477)";"Médico Hospitalar";"Médio";"24";"26";"   6,99";"   7,29";"   9,58";"  10,23";"  12,57";"  10,81";"   9,23";"   8,96";"  10,91";"  12,89";"  11,81";"   9,76";"202002";"26/03/2020 09:14:21"
"CAIXA ECONÔMICA FEDERAL (312924)";"Médico Hospitalar";"Grande";"31";"26";"   3,94";"   4,75";"   5,28";"   6,06";"   7,14";"   8,16";"   7,75";"   7,28";"   7,16";"   7,92";"   7,45";"   6,53";"202002";"26/03/2020 09:14:21"
"CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A (418072)";"Médico Hospitalar";"Pequeno";"9";"12";"  67,57";"  64,10";" 118,81";" 220,18";" 255,10";" 265,88";" 235,29";" 280,64";"  53,02";"  27,07";"  22,04";"  18,59";"202002";"26/03/2020 09:14:21"
"CAMIM-CLINICA MÉDICA LTDA (319872)";"Médico Hospitalar";"Médio";"124";"195";"   1,24";"   0,41";"   0,80";"   1,19";"   1,96";"   1,93";"   1,14";"   0,38";"0,00";"0,00";"   0,71";"   1,04";"202002";"26/03/2020 09:14:21"
"CARE PLUS MEDICINA ASSISTENCIAL LTDA. (379956)";"Médico Hospitalar";"Grande";"51";"49";"   1,94";"   2,21";"   2,62";"   2,08";"   1,74";"   1,88";"   1,54";"   2,28";"   1,92";"   2,40";"   1,67";"   1,67";"202002";"26/03/2020 09:14:21"
"CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA. (327328)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CASA DE SAÚDE SÃO BERNARDO S/A (363766)";"Médico Hospitalar";"Médio";"99";"94";"   1,75";"   2,08";"   2,42";"   3,20";"   3,06";"   3,14";"   2,68";"   2,46";"   2,01";"   2,03";"   1,82";"   1,72";"202002";"26/03/2020 09:14:21"
"CB SAÚDE ADMINISTRAÇÃO EM SAUDE SUPLEMENTAR LTDA (418676)";"Médico Hospitalar";"Pequeno";"181";"5";"0,00";" 194,17";" 194,17";" 194,17";"0,00";"0,00";"  97,09";" 388,35";" 485,44";"#######";"#######";"#######";"202002";"26/03/2020 09:14:21"
"CEAM BRASIL - PLANOS DE SAÚDE S/A (311472)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,31";"   4,31";"   4,26";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CEDPLAN SAÚDE LTDA EPP (418749)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"   1,57";"   1,60";"   1,67";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CELULOSE NIPO-BRASILEIRA S/A - CENIBRA (339270)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CEMIG SAÚDE (417505)";"Médico Hospitalar";"Médio";"215";"172";"0,00";"   0,69";"   1,37";"   1,71";"   1,71";"   1,54";"   1,54";"   1,53";"   2,21";"   2,38";"   2,03";"   1,18";"202002";"26/03/2020 09:14:21"
"CEMIL CENTRO MEDICO DE ITU LTDA. (300012)";"Médico Hospitalar";"Pequeno";"132";"144";"   1,23";"   1,22";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,27";"   2,25";"   2,26";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRAIS ELÉTRICAS DE RONDÔNIA S/A - CERON (304697)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL (339679)";"Médico Hospitalar";"Grande";"17";"17";"   5,98";"   6,96";"   8,24";"   9,29";"  10,03";"   9,68";"   8,85";"   8,28";"   7,89";"   8,30";"   7,87";"   6,91";"202002";"26/03/2020 09:14:21"
"CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE SOCIEDADE COOPERATIVA (417092)";"Médico Hospitalar";"Pequeno";"16";"22";"  29,34";"  19,23";"  19,04";"  46,99";"  74,72";"  74,21";"  36,90";"   9,17";"   9,11";"   9,03";"   8,96";"   8,89";"202002";"26/03/2020 09:14:21"
"CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO (386596)";"Médico Hospitalar";"Médio";"153";"158";"   0,90";"   0,90";"   0,90";"   1,82";"   2,29";"   1,85";"   1,41";"   1,90";"   2,90";"   3,41";"   2,91";"   2,41";"202002";"26/03/2020 09:14:21"
"CENTRO BARBACENENSE DE ASSISTÊNCIA MEDICA E SOCIAL (310361)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRO CLÍNICO GAÚCHO LTDA (392804)";"Médico Hospitalar";"Grande";"37";"38";"   2,88";"   3,30";"   4,20";"   4,61";"   4,79";"   4,35";"   3,31";"   2,69";"   2,25";"   2,18";"   2,16";"   1,80";"202002";"26/03/2020 09:14:21"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA (415910)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"  13,57";"  13,57";"  40,69";"  27,03";"  26,86";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRO HOSPITALAR ATIBAIA LTDA. (350699)";"Médico Hospitalar";"Pequeno";"149";"118";"   1,01";"   2,01";"   2,51";"   1,99";"   0,99";"0,00";"   0,98";"   1,96";"   2,45";"   1,95";"   0,98";"   0,97";"202002";"26/03/2020 09:14:21"
"CENTRO MÉDICO FÁTIMA LTDA (408883)";"Médico Hospitalar";"Pequeno";"68";"122";"   3,79";"   1,93";"   1,95";"   5,88";"   7,94";"   6,08";"   2,04";"   2,02";"   4,00";"   8,01";"   6,09";"   4,09";"202002";"26/03/2020 09:14:21"
"CENTRO TRASMONTANO DE SAO PAULO (303623)";"Médico Hospitalar";"Médio";"35";"44";"   5,14";"   5,20";"   5,92";"   6,12";"   6,98";"   6,39";"   6,11";"   5,23";"   4,79";"   4,93";"   5,63";"   7,01";"202002";"26/03/2020 09:14:21"
"CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO (324892)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CGO SAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA  (413291)";"Médico Hospitalar";"Pequeno";"103";"105";"   1,84";"   2,43";"   4,20";"   3,61";"   6,68";"   3,71";"   3,76";"0,00";"   0,65";"   1,32";"   1,35";"   0,68";"202002";"26/03/2020 09:14:21"
"CIRCULO OPERARIO CAXIENSE (310247)";"Médico Hospitalar";"Médio";"214";"217";"   0,11";"   0,11";"   0,56";"   0,78";"   0,89";"   0,77";"   0,66";"   0,77";"   0,88";"   1,21";"   0,88";"   0,66";"202002";"26/03/2020 09:14:21"
"CLIMEPE TOTAL LTDA (343013)";"Médico Hospitalar";"Médio";"143";"149";"   1,01";"   1,01";"   1,77";"   1,77";"   1,01";"   0,25";"   0,51";"   0,76";"   0,51";"   0,51";"   0,77";"   1,03";"202002";"26/03/2020 09:14:21"
"CLIMESA CLÍNICA MÉDICA SANTANA LTDA (342955)";"Médico Hospitalar";"Pequeno";"17";"34";"  19,09";"  12,51";"   6,15";"   6,00";"   5,88";"   5,74";"0,00";"  27,42";"  26,76";"  36,73";"  10,37";"  20,47";"202002";"26/03/2020 09:14:21"
"CLIMOL CLINICA MÉDICA E ODONTOLÓGICA SÃO FRANCISCO DE ASSIS LTDA. (402770)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CLÍNICA SÃO GABRIEL S/S LTDA (415944)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CLINICA SÃO JOSÉ SAUDE LTDA. (413275)";"Médico Hospitalar";"Médio";"66";"81";"   2,91";"   2,53";"   0,97";"   1,17";"   0,98";"   0,99";"   0,80";"   0,80";"   1,41";"   1,02";"   2,66";"   2,68";"202002";"26/03/2020 09:14:21"
"CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA (340782)";"Médico Hospitalar";"Grande";"36";"37";"   2,98";"   3,33";"   3,81";"   3,52";"   3,14";"   2,27";"   2,26";"   2,31";"   2,61";"   3,43";"   3,79";"   3,55";"202002";"26/03/2020 09:14:21"
"CMI - CLINICA DE MEDICINA INTEGRADA LTDA. (310239)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  21,41";"  21,17";"  20,98";"202002";"26/03/2020 09:14:21"
